frame_index,image_name,num_tracks,new_counts,total_count
0,vlcsnap-2026-02-15-14h46m10s194.png,4,0,0
1,vlcsnap-2026-02-15-14h47m40s052.png,2,0,0
2,vlcsnap-2026-02-15-14h47m41s977.png,3,0,0
3,vlcsnap-2026-02-15-14h50m37s762.png,0,0,0
4,vlcsnap-2026-02-15-14h53m35s919.png,1,0,0
5,vlcsnap-2026-02-15-14h55m07s097.png,2,0,0
6,vlcsnap-2026-02-15-14h56m31s767.png,2,0,0
7,vlcsnap-2026-02-15-14h56m36s919.png,2,0,0
8,vlcsnap-2026-02-15-14h56m55s332.png,1,0,0
9,vlcsnap-2026-02-15-14h56m57s483.png,1,0,0
